character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,mapping_status,source
불,U+BD88,0xa0d8,0x9d43,2080,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
비,U+BE44,0xa0d9,0x94d8,2079,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
빈,U+BE48,0xa0da,0x94c4,2078,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
빛,U+BE5B,0xa0db,0x9049,2077,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
빠,U+BE60,0xa0dc,0x8fc9,2076,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
빼,U+BE7C,0xa0dd,0x9465,2075,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
사,U+C0AC,0xa0de,0x8cd5,2073,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
살,U+C0B4,0xa0df,0x9854,2072,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
상,U+C0C1,0xa0e0,0x9193,2071,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
새,U+C0C8,0xa0e1,0x957b,2069,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
생,U+C0DD,0xa0e2,0xe581,2068,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
서,U+C11C,0xa0e3,0x9277,2067,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
석,U+C11D,0xa0e4,0x9365,2066,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
선,U+C120,0xa0e5,0x89f4,2064,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
설,U+C124,0xa0e6,0x89c9,2063,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
섬,U+C12C,0xa0e7,0x914b,2056,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
성,U+C131,0xa0e8,0x8fd1,2055,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
세,U+C138,0xa0e9,0x9243,2053,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
소,U+C18C,0xa0ea,0x929a,2052,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
속,U+C18D,0xa0eb,0x8cba,2051,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
손,U+C190,0xa0ec,0x8fc2,2050,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
수,U+C218,0xa0ed,0x8e62,2049,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
숙,U+C219,0xa0ee,0x96cf,2047,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
술,U+C220,0xa0ef,0x934d,2046,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
숲,U+C232,0xa0f0,0x9cd4,2045,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
스,U+C2A4,0xa0f1,0x96e7,2044,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
슬,U+C2AC,0xa0f2,0x906d,2043,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
습,U+C2B5,0xa0f3,0x8d4f,2042,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
시,U+C2DC,0xa0f4,0xe3f9,2041,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
신,U+C2E0,0xa0f5,0x9546,2040,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
실,U+C2E4,0xa0f6,0x8bd0,2039,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
쓰,U+C4F0,0xa0f7,0x8ab0,2038,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
